 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","Staterbros","","","","","",,,"",False,False,True,,726,""
"","Stell Coffee","","","","","",,,"",False,False,True,,724,""
"","Steves Burgers","","","","","",,,"",False,False,True,,724,""
"","Stix Holdings","","","","","",,,"",False,False,True,,,""
"","Storm Burger","","","","","",,,"",False,False,True,,724,""
"","Stubhub","","","","","",,,"",False,False,True,,729,""
"","Subway","","","","","",,,"",False,False,True,,724,""
"","Sugoi Sushi","","","","","",,,"",False,False,True,,724,""
"","Sunglass Hut","","","","","",,,"",False,False,True,,722,""
"","Sunny Donut","","","","","",,,"",False,False,True,,724,""
"","Sunright Tea","","","","","",,,"",False,False,True,,724,""
"","Sunrise Cafe","","","","","",,,"",False,False,True,,724,""
"","Sunrise Lax Parking","","","","","",,,"",False,False,True,,732,""
"","Sushi Miguel","","","","","",,,"",False,False,True,,724,""
"","Syncb Phone","","","","","",,,"",False,False,True,,725,""
"","Synchrony Bank Cc","","","","","",,,"",False,False,True,,451,""
"","T Burgers","","","","","",,,"",False,False,True,,724,""
"","T J Maxx","","","","","",,,"",False,False,True,,722,""
"","Taco Bell","","","","","",,,"",False,False,True,,724,""
"","Tahquitz Pines Retreat","","","","","",,,"",False,False,True,,724,""
"","Tams Burgers","","","","","",,,"",False,False,True,,724,""
"","Target","","","","","",,,"",False,False,True,,615,""
"","Team Fundraiser","","","","","",,,"",False,False,True,,905,""
"","Tera Sushi","","","","","",,,"",False,False,True,,724,""
"","Tgi Friday'S","","","","","",,,"",False,False,True,,724,""
"","Thai Bowl Caf?","","","","","",,,"",False,False,True,,724,""
"","Thai Spoon","","","","","",,,"",False,False,True,,724,""
"","The Hat","","","","","",,,"",False,False,True,,724,""
"","The Home Depot","","","","","",,,"",False,False,True,,615,""
"","The Kickin Crab","","","","","",,,"",False,False,True,,724,""
"","The Rooftop Bar","","","","","",,,"",False,False,True,,724,""
